rater_id,n_evaluations,mean_rating,sd_rating,accuracy,within_one,tendency,consistency,expertise_domain
1,195,3.1179487179487184,1.5030676183717866,0.5487179487179488,0.9282051282051282,moderate,0.672748085227795,creative
2,211,3.180094786729858,1.4850948311940753,0.5829383886255924,0.943127962085308,moderate,0.6671724856481888,factual
3,170,3.276470588235294,1.4554648749071246,0.6,0.9470588235294117,moderate,0.7303350931964815,general
4,201,2.985074626865672,1.405267276856252,0.5522388059701493,0.9552238805970149,moderate,0.854171069455333,opinion
5,198,2.9444444444444446,1.5386540510381428,0.6212121212121212,0.9343434343434344,moderate,0.8265701080788858,technical
6,195,2.5794871794871796,1.3650987440549314,0.4512820512820513,0.9333333333333333,strict,0.8544943977613002,opinion
7,196,2.61734693877551,1.4434663059635708,0.4642857142857143,0.8826530612244898,strict,0.6080673322780058,technical
8,188,2.952127659574468,1.4115057173221068,0.5638297872340425,0.9095744680851063,moderate,0.6271736595430412,opinion
9,204,3.127450980392157,1.3837307223123136,0.5147058823529411,0.9509803921568627,moderate,0.6555838376749307,factual
10,235,3.4765957446808513,1.4241825914636004,0.49361702127659574,0.948936170212766,lenient,0.935237018216867,creative
11,213,3.215962441314554,1.437479659740477,0.5727699530516432,0.9624413145539906,moderate,0.8141043663839809,general
12,207,3.111111111111111,1.425231107889301,0.6038647342995169,0.961352657004831,moderate,0.8015967650222592,technical
13,183,3.469945355191257,1.4172886579150619,0.5355191256830601,0.8852459016393442,lenient,0.6473921410157345,opinion
14,190,3.1631578947368424,1.4363793865595227,0.6736842105263158,0.9736842105263158,moderate,0.9348918402916752,general
15,214,3.0140186915887854,1.4838060816400156,0.6401869158878505,0.9485981308411215,moderate,0.8930485801654867,general
